회사명,직무/포지션,고용형태,근무지역(상세),근무지역(도시),근무기간,급여,요구스킬,스킬수,기업규모,직무카테고리,공고URL
대한무역투자진흥공사,2026년 2기 KOTRA 체험형 청년인턴 모집,인턴,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/312022
신용보증기금,2026년도 상반기 신입직원 채용 사전공고,신입,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/312018
국립중앙과학관,AI Hack Camp 2026,,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/311993
한국데이터정보과학회,제2회 데이터 분석 경진대회,,,기타,,,데이터 분석,1,스타트업,데이터분석가,https://inthiswork.com/archives/311988
카카오페이,[어시스턴트] 보험 상담 채널 운영 지원,,,기타,,,데이터 분석,1,대기업,기타,https://inthiswork.com/archives/311714
한국평가정보 KCS,[정보보안팀] 보안운영담당자 (전환형 인턴),인턴,,서울,,,"데이터 분석, Python, SQL, AWS, GCP, Azure",6,스타트업,기타,https://inthiswork.com/archives/311704
한국프로축구연맹,2026년 인턴사원 공개채용,인턴,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/311689
SIMPAC아뜰리에,채용전환형 인턴 신규 인력 채용 (Operation Manager),인턴,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/311684
토스뱅크,2026 전직군 대규모 채용,,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/311679
한화에어로스페이스,2026년 상반기 AI Research 석·박사 특별채용,,,기타,,,,0,스타트업,리서치/컨설팅,https://inthiswork.com/archives/311660
토스증권,전 직군 경력직 대규모 채용,경력,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/311649
무림그룹,2026년 3월 직무별 신입/경력 채용,신입,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/311595
베링랩,NLP Engineer Intern,인턴,,서울,,매월 세전 210만원,SQL,1,스타트업,DE/ML엔지니어,https://inthiswork.com/archives/311486
반프,R&D / Data Engineer,,,기타,,,"데이터 파이프라인, 데이터 분석, 머신러닝, 시각화, Python, PyTorch",6,스타트업,DE/ML엔지니어,https://inthiswork.com/archives/311424
마크비전,Brand Protection Specialist,,,기타,,,데이터 분석,1,스타트업,기타,https://inthiswork.com/archives/311332
플래티어,[EC솔루션연구소] AI 기술 개발자(전문연구요원 현역),,,기타,,,"머신러닝, 딥러닝, Python, TensorFlow, PyTorch",5,스타트업,기타,https://inthiswork.com/archives/311260
모두닥,스타트업 직무 체험 인턴,인턴,,기타,,월급 300만원 (세전),데이터 분석,1,스타트업,기타,https://inthiswork.com/archives/311076
쿠팡로지스틱스서비스,Fleet Data & AI Operations Specialist,,,기타,,,"데이터 분석, 시각화, Python, SQL, Tableau, Power BI, 통계",7,스타트업,기타,https://inthiswork.com/archives/311251
한국연구재단,2026년도 제2차 사업위촉직 채용,,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/311227
이브자리 그룹사,수면연구소 인턴(정규직 전환형) 채용,인턴,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/311185
한국평가데이터,[데이터 가공 및 추출] 계약직원 채용,계약직,,기타,,,SQL,1,스타트업,기타,https://inthiswork.com/archives/311157
한국기계산업진흥회,신규 정규직(신입 및 경력) 채용,신입,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/311091
페이머스 스튜디오,KREAM 검수센터 데이터 분석 및 리포트 담당자,정규직,,기타,,,"데이터 분석, Python, Tableau, 통계, Looker",5,스타트업,데이터분석가,https://inthiswork.com/archives/311080
노타,[America Tech] AI Software Engineer,,,기타,,,"Python, SQL, MySQL, PostgreSQL",4,스타트업,DE/ML엔지니어,https://inthiswork.com/archives/311021
어센트코리아,Data Specialist (체험형 인턴),인턴,,기타,,,"데이터 파이프라인, 데이터 분석, 시각화, Python, SQL, Excel, 통계, Pandas",8,스타트업,기타,https://inthiswork.com/archives/310984
코리아크레딧뷰로,연구소 스코어 운영지원 채용(계약직),계약직,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/310931
숨고,Data Team Intern (체험형),인턴,,기타,,,"데이터 분석, SQL, Excel",3,스타트업,기타,https://inthiswork.com/archives/310929
쿠팡,로켓그로스 PM 담당자(컨수머블),,,기타,,,"데이터 분석, 머신러닝, 시각화, Tableau, 통계",5,스타트업,기획/전략,https://inthiswork.com/archives/310910
티케이지태광,[기획조정본부] 정보전략팀 IT 기획 신입/경력사원 채용,신입,,기타,,,데이터 분석,1,스타트업,기획/전략,https://inthiswork.com/archives/310881
티케이지태광,[기획조정본부] 정보전략팀 데이터 사이언스 신입/경력사원 채용,신입,,기타,,,"데이터 분석, 머신러닝, 통계",3,스타트업,기획/전략,https://inthiswork.com/archives/310879
한국환경산업기술원,2026년도 제1차 신규직원 채용,,,기타,,,,0,스타트업,기타,https://inthiswork.com/archives/310756
